Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Araripina,2601102,araripinense,EVIL&Aacute;SIO MATEUS DA SILVA CARDOSO,2037.394,85088,41.76,95.2,0.602,11.02,327535972.07,303646905.40,14912.98,
Arcoverde,2601201,arcoverdense,JOS&Eacute; CAVALCANTI ALVES J&Uacute;NIOR,343.923,77742,226.04,97.3,0.667,10.73,270843964.91,269469223.80,16141.61,
Barra de Guabiraba,2601300,guabirabense,DIOGO CARLOS DE LIMA SILVA,118.639,12263,103.36,93.7,0.577,6.58,66903026.02,65654574.00,10042.58,
Barreiros,2601409,barreirense,CARLOS ARTUR SOARES DE AVELLAR JUNIOR,233.433,40121,171.87,94.6,0.586,23.26,170525898.10,172360660.50,11757.3,
Bel&eacute;m de Maria,2601508,belenense,ROBERTO PAULO DO NASCIMENTO SILVA,75.912,10378,141.88,98.5,0.578,-,61193170.63,50415549.58,8176.47,
Bel&eacute;m do S&atilde;o Francisco,2601607,belenense,CALBY DE CARVALHO CRUZ,1830.828,18301,10.00,97.3,0.642,27.03,89199469.97,94864063.84,17669.71,
Belo Jardim,2601706,belo-jardinense,GILVANDRO ESTRELA DE OLIVEIRA,647.445,79507,122.80,97.1,0.629,13.79,301528911.57,264866563.60,35942.24,
Bet&acirc;nia,2601805,betaniense,ERIVALDO SEVERINO BEZERRA,1256.138,11232,9.03,93.8,0.559,18.07,68421519.73,70773784.35,8220.08,
Bezerros,2601904,bezerrense,MARIA LUCIELLE SILVA LAURENTINO,497.156,61694,125.23,95.9,0.606,9.22,200820366.71,214874009.00,15794.39,
Bodoc&oacute;,2602001,bodocoense,OT&Aacute;VIO AUGUSTO TAVARES PEDROSA CAVALCANTE,1621.786,34478,21.26,95.7,0.565,15.09,148384639.65,151561479.20,8211.64,
Bom Conselho,2602100,conselhense,EDEZIO FERREIRA DOS SANTOS FILHO,790.774,44294,55.91,96.2,0.563,27.54,169946443.92,174458344.70,13132.22,
Bom Jardim,2602209,bom-jardinense,JOAO FRANCISCO DA SILVA NETO,226.639,37629,167.91,97,0.602,9.46,155688776.64,144114188.80,9165.99,
Bonito,2602308,bonitense,RUY BARBOSA,392.627,37474,95.31,96.7,0.561,18.48,140745004.83,146810871.80,14155.54,
Brej&atilde;o,2602407,brejonense,SAULO HENRIQUE FLORENTINO DE BARROS,159.786,9079,56.82,96.3,0.547,16.95,67251919.85,63812418.83,20451.9,
Brejinho,2602506,breijinhense,GILSOMAR BENTO DA COSTA,106.066,7720,72.80,98.2,0.574,9.52,71202445.35,49345694.54,11200.23,
Brejo da Madre de Deus,2602605,brejense,ROBERTO ABRAHAM ABRAHAMIAN ASFORA,761.824,48648,63.81,95.6,0.562,14,181588678.28,186754772.60,8924.43,
Buenos Aires,2602704,buenairense,HENRIQUE JOSE QUEIROZ COSTA,93.187,12808,137.44,97.4,0.593,12.05,62574062.92,63604264.28,10068.94,
Bu&iacute;que,2602803,buiquense,T&Uacute;LIO HENRIQUE ARA&Uacute;JO CAVALCANTI,1336.544,52097,38.98,94.7,0.527,13.87,183461147.46,189452280.40,9235.21,
Cabo de Santo Agostinho,2602902,cabense,LUIZ CABRAL DE OLIVEIRA FILHO,445.386,203440,456.77,96.5,0.686,11.87,1236226269.66,1069014585.00,65022.05,
Cabrob&oacute;,2603009,cabroboense,ELIOENAI DIAS SANTOS FILHO,1658.616,30294,18.26,97.6,0.623,12.17,145789647.51,150148447.70,12676.5,
Cachoeirinha,2603108,cachoeirinhense,ANDR&Eacute; PEDRO VALEN&Ccedil;A DE MELO RAIMUNDO,179.262,19899,111.01,95.3,0.579,13.56,84827671.31,75226480.80,12337.22,
Caet&eacute;s,2603207,caeteense,NIVALDO DA SILVA MARTINS,294.946,28827,97.74,92.6,0.522,7.59,119020435.04,114463454.20,14578.59,
Cal&ccedil;ado,2603306,cal&ccedil;adense,JOS&Eacute; ELIAS MACENA DE LIMA FILHO,121.435,11093,90.97,97.1,0.566,16,56252038.14,53636130.13,10497.94,
Calumbi,2603405,calumbiense,ERIVALDO JOSE DA SILVA,179.314,5228,29.16,95.3,0.571,-,43142033.73,45962182.63,8756.96,
Camaragibe,2603454,camaragibense,DIEGO DA ROCHA CABRAL,51.321,147771,2879.35,97.4,0.692,14.04,530107919.58,461438588.30,13940.29,
Camocim de S&atilde;o F&eacute;lix,2603504,camociense ou camocinense,SOSTENES RUBANO NEVES PONTES,72.010,17419,241.90,97,0.588,9.09,72463701.09,67678864.92,9518.74,
Camutanga,2603603,camutanguense,TALITA CARDOZO FONSECA,39.116,7750,198.13,97.9,0.606,9.9,51077831.01,46822222.38,33213.32,
Canhotinho,2603702,canhotinhense,SANDRA REJANE LOPES DE BARROS,422.830,24329,57.49,91.8,0.541,14.23,114284895.00,106802279.30,10232.04,
Capoeiras,2603801,capoeirense,JOAQUIM COSTA TEIXEIRA,337.108,18338,54.39,96.5,0.549,22.39,96819190.88,91824971.09,12173.46,
Carna&iacute;ba,2603900,carnaibano,WAMBERG ANTONIO GOMES AMARAL,432.137,18644,43.58,96.1,0.583,8.2,102631788.32,89957949.28,9841.63,
Carnaubeira da Penha,2603926,carnaubeirense,ELIZIO SOARES FILHO,1004.248,12239,12.18,98.1,0.573,23.53,53462344.78,54947193.57,6359.89,
Carpina,2604007,carpinense,MARIA EDUARDA BAIMA TEIXEIRA GOUVEIA,146.494,79293,539.35,95.5,0.680,13.19,298111099.90,268235513.40,20496.82,
Caruaru,2604106,caruaruense,RODRIGO ANSELMO PINHEIRO DOS SANTOS,919.069,378048,409.52,94.9,0.677,13.17,1355576829.60,1393699983.00,23456.58,
Casinhas,2604155,casinhense,JULIANA BARBOSA DA SILVA AGUIAR,116.833,12967,111.91,97.5,0.567,-,84595317.30,71927574.78,7052.53,
Catende,2604205,catendense,GRACINA MARIA RAMOS BRAZ DA SILVA,208.594,32156,154.16,95.2,0.609,19.05,122088356.43,128306178.90,8236.25,
Cedro,2604304,cedrense,MARIA RIVA BEZERRA RODRIGUES,148.746,10518,70.71,95.5,0.615,33.78,51713325.54,52903926.98,10474.55,
Ch&atilde; de Alegria,2604403,alegriense,MARCOS GOMES DO AMARAL,49.327,12984,263.22,97.1,0.604,26.14,64936216.89,57897023.87,12371.37,
Ch&atilde; Grande,2604502,ch&atilde;-grandense,SANDRO CORREA DOS SANTOS,84.787,20546,242.32,96.7,0.599,7.09,118094931.21,120234354.90,11454.82,
Condado,2604601,condadense,SEVERINO ALBINO DA SILVA FILHO,89.645,24587,274.27,97.3,0.602,10.91,107320415.29,109203093.90,9378.26,
Correntes,2604700,correntense,EDIMILSON DA BAHIA DE LIMA GOMES,317.793,17131,53.91,93.1,0.536,-,78788707.43,76773222.71,10477.19,
Cort&ecirc;s,2604809,cortesense,MARIA DE FATIMA CYSNEIROS SAMPAIO BORBA,103.416,10198,99.15,97.2,0.568,13.07,68902150.78,71724307.09,9686.87,
Cumaru,2604908,cumaruense,MARIA ZENEIDE MEDEIROS DA COSTA,291.429,15920,54.48,98.5,0.572,-,81507601.88,77353210.69,11508.33,
Cupira,2605004,cupirense,EDUARDO DA FONSECA LIRA,95.149,23518,247.15,97.3,0.592,6.49,114607211.23,109708837.80,11700.13,
Cust&oacute;dia,2605103,custodiense,MANOEL MESSIAS DE SOUZA,1382.059,37699,26.85,97.1,0.594,7.77,209203084.64,204345390.60,15780.83,
Dormentes,2605152,dormentense,MARIA DO SOCORRO COELHO DE SOUSA,1539.052,17188,11.17,97,0.589,10.64,99430414.32,101837887.40,12783.05,
Escada,2605202,escadense,MARIA JOS&Eacute; FIDELIS MOURA GOUVEIA,342.156,59891,174.82,94.1,0.632,9.87,275144425.82,230201951.60,18743.36,
Exu,2605301,exuense,JOS&Eacute; PINTO SARAIVA J&Uacute;NIOR,1336.786,31843,23.82,95.2,0.576,22.94,149147137.11,144817617.80,10253.15,
Feira Nova,2605400,feira-novense,JOEL CANDIDO GONZAGA,107.726,21427,198.90,97.6,0.600,14.23,100531811.97,89365230.10,11071.1,
Fernando de Noronha,2605459,noronhense,GUILHERME CAVALCANTI DA ROCHA LEIT&Atilde;O,18.609,3167,170.19,100,0.788,-,-,-,73108.78,
Ferreiros,2605509,ferreirense,JOSE ROBERTO DE OLIVEIRA,92.516,15026,162.42,97.9,0.622,8.7,61146416.72,55397609.38,10846.66,
Flores,2605608,florense,CICERO GILBERTO CAVALCANTI RIBEIRO,995.558,20347,20.44,96.4,0.556,35.71,99018657.62,92344837.99,8530.94,
Floresta,2605707,florestano,ROSANGELA DE MOURA MANI&Ccedil;OBA NOVAES FERRAZ,3637.247,30137,8.36,95.6,0.626,20.18,140954607.08,152645174.90,13294.71,
Frei Miguelinho,2605806,frei-miguelinhense,JOS&Eacute; LINDONALDO DE FRAN&Ccedil;A,213.735,13636,64.11,95.4,0.576,21.98,58926718.10,59103897.74,8407.94,
Gameleira,2605905,gameleirense,LEANDRO RIBEIRO GOMES DE LIMA,257.781,18214,70.66,97,0.602,11.07,95008673.30,85495658.33,8685.09,
Garanhuns,2606002,garanhuense,SIVALDO RODRIGUES ALBINO,458.964,142506,310.77,96.8,0.664,11.65,529312125.06,522944687.90,21769.91,
Gl&oacute;ria do Goit&aacute;,2606101,gloriense,JAIME DE LIMA GOMES SOBRINHO,234.486,29347,125.04,98.3,0.604,21.62,126586639.06,120306057.10,17979.59,
Goiana,2606200,goianense,EDUARDO BATISTA,445.405,81055,181.98,96.7,0.651,13.77,767850710.89,774292171.50,132714.72,
Granito,2606309,granitense,GEORGE WASHINGTON PEREIRA ALENCAR,521.690,6967,13.35,98.5,0.595,27.78,48971876.82,45063106.88,10339,
Gravat&aacute;,2606408,gravataense,JOSELITO GOMES DA SILVA,507.360,86516,170.52,97.2,0.634,9.85,310722200.60,321709597.60,15938.31,
Iati,2606507,iatiense,CAMILA APARECIDA TENORIO SOUTO DE SOUZA,635.137,17165,27.03,90.5,0.528,10.45,95200733.30,99170325.25,10153.51,
Ibimirim,2606606,ibimiriense,JOS&Eacute; WELLITON DE MELO SIQUEIRA,1929.338,26593,14.13,93.7,0.552,5.22,109745800.96,102743517.80,11158.32,
Ibirajuba,2606705,ibirajubense,MARIA IZALTA SILVA LOPES GAMA,189.596,7140,37.66,96.7,0.580,-,47718958.44,48818343.22,11003.14,
Igarassu,2606804,igarassuano,ELCIONE DA SILVA RAMOS PEDROZA BARBOSA,306.879,115196,375.38,97.9,0.665,15.42,409732834.36,419580675.10,29003.48,
Iguaracy,2606903,iguaraciense,PEDRO ALVES DE OLIVEIRA NETO,836.046,11081,13.22,98.7,0.598,15.75,62944874.65,65247844.96,9161.79,
Inaj&aacute;,2607000,inajaense,MARCELO MACHADO FREIRE,1240.961,25603,20.79,84.2,0.523,20.9,116759722.62,113202758.30,8191.73,
Ingazeira,2607109,ingazeirense,LUCIANO TORRES MARTINS,243.858,4765,19.56,98.2,0.608,-,40851280.23,40107069.62,11130.08,
Ipojuca,2607208,ipojuquense ou ipojucanos,CARLOS JOS&Eacute; DE SANTANA,521.801,98932,189.60,97.3,0.619,9.96,1659279430.40,1446070586.00,150647.79,
Ipubi,2607307,ipubiense,JO&Atilde;O MARCOS SIQUEIRA TORRES,693.914,29009,41.80,95.1,0.550,21.7,153495294.55,157050710.00,10800.4,
Itacuruba,2607406,itacurubense,OLEGARIO JUNIOR CANTARELLI,436.528,4284,9.96,97.5,0.595,-,45187514.53,39833071.78,14220.22,
Ita&iacute;ba,2607505,itaibense,PEDRO TEOT&Ocirc;NIO DA SILVA NETO,1034.044,32650,30.75,93.3,0.510,2.68,120631595.72,118453214.00,10789.31,
Ilha de Itamarac&aacute;,2607604,itamaracaense,PAULO FERNANDO PIMENTEL GALV&Atilde;O,66.146,24540,371.00,97.6,0.653,8.03,95828577.94,99993070.12,11051.57,
Itamb&eacute;,2607653,itambeense,ARMANDO PIMENTEL DA ROCHA,304.006,34935,114.92,94.6,0.575,7.43,119149580.19,136873956.00,14321.34,
Itapetim,2607703,itapetinense,ALINE KARINA ALVES DA COSTA,411.875,13791,33.48,97.5,0.592,23.39,74882859.44,76355963.43,10367.12,
Itapissuma,2607752,itapissumense,VALDEMIR LOUREN&Ccedil;O DOS SANTOS J&Uacute;NIOR,73.968,27749,375.15,97.6,0.633,2.78,182431566.57,187703338.80,87814.64,
Itaquitinga,2607802,itaquitinguense,PATRICK JOSE DE OLIVEIRA MORAES,162.739,16554,101.72,97.3,0.586,21.51,82095075.78,77074254.88,9431.09,
Jaboat&atilde;o dos Guararapes,2607901,jaboat&atilde;oense,LUIZ JOS&Eacute; INOJOSA DE MEDEIROS,258.724,644037,2489.28,96.8,0.717,13.96,2156550320.38,1931611747.00,22680.83,
Jaqueira,2607950,jaqueirense,RIDETE CELLIBE PELLEGRINO DE MACEDO OLIVEIRA,87.208,10247,117.50,95.4,0.575,6.49,64133782.39,58743930.80,9611.54,
Jata&uacute;ba,2608008,jataubense,C&Aacute;TIA JUNSARA RODRIGUES AQUILINO,714.601,15843,22.17,97.6,0.530,30.57,85660619.79,80798318.92,8948.98,
Jatob&aacute;,2608057,jatobaense,ROG&Eacute;RIO FERREIRA GOMES DA SILVA,277.862,14020,50.46,97.7,0.645,9.9,70500440.84,73561194.00,10318.9,
Jo&atilde;o Alfredo,2608107,alfredense,JOS&Eacute; ANTONIO MARTINS DA SILVA,134.147,27725,206.68,97.1,0.576,10.31,128080094.61,123755615.80,9432.35,
Joaquim Nabuco,2608206,nabuquense,MARCIA ROBERTA BARRETO,122.605,13269,108.24,95.5,0.554,12.05,62552251.90,61782545.20,11332.6,
Jucati,2608255,jucatiense,CLELSON LUIS APARECIDO DE MELO,120.167,11517,95.56,98,0.550,12.82,67873077.84,61329487.15,11197.05,
Jupi,2608305,jupiense,RIVANDA MARIA FREIRE LIMA TEIXEIRA,104.835,15329,146.22,96.3,0.575,12.35,102428681.25,96664718.69,14274.96,
Jurema,2608404,juremense,EDVALDO MARCOS RAMOS FERREIRA,148.254,13648,92.06,96,0.509,14.93,63503739.16,61957692.45,8579.73,
Lagoa do Carro,2608453,lagoense do carro,JOSE LUIZ ALVES DE AMORIM,69.244,17981,258.10,97.8,0.609,32.86,96226575.03,95418569.59,16313.12,
Lagoa de Itaenga,2608503,itaenguense,DIMAS CAETANO DE SOUSA,57.298,19003,338.55,98.9,0.602,14.04,102179125.83,99096335.43,22468.99,
Lagoa do Ouro,2608602,lagoa-do-ourense,EDSON LOPES CAVALCANTE,199.996,11933,60.04,96.5,0.525,-,70629782.01,72687094.04,10467.9,
Lagoa dos Gatos,2608701,lagoense,ST&Ecirc;NIO FERNANDES DE ALBUQUERQUE,224.947,14076,62.57,96.5,0.551,33.78,67618533.28,62449022.66,8286.49,
Lagoa Grande,2608750,lagoa-grandense,ANA CATHARINA GARZIERA MORENO,1850.070,24088,13.02,96.3,0.597,29.41,135070953.22,122528306.20,17510.3,
Lajedo,2608800,lajedense,ERIVALDO RODRIGUES AMORIM,189.096,39582,209.32,97.9,0.611,17.41,198891509.35,192211051.80,14323.21,
Limoeiro,2608909,limoeirense,ORLANDO JORGE PEREIRA DE ANDRADE LIMA,273.733,56510,206.44,98,0.663,6.06,220179700.27,195815051.20,14930.68,
Macaparana,2609006,macaparanense,PAULO BARBOSA DA SILVA,108.049,23879,221.00,97.9,0.609,8.65,109630275.20,104006160.90,11092.43,
Machados,2609105,machadense,JUAREZ RODRIGUES FERNANDES,58.320,11333,183.92,82.9,0.578,5.62,78334012.38,73422436.20,13069.99,
Manari,2609154,manariense,AUDALIO MARTINS DA SILVA JUNIOR,386.570,23763,68.94,93.4,0.487,15.15,82214017.52,86759294.14,6293.67,
Maraial,2609204,maraialense,MARLOS HENRIQUE CAVALCANTI,199.865,9359,46.83,94.1,0.534,7.52,50770779.15,49996135.75,8333.9,
Mirandiba,2609303,mirandibense,EVALDO BEZERRA DE CARVALHO,821.676,14166,17.24,95.8,0.591,27.67,68974226.31,68519333.00,10509.75,
Moreno,2609402,morenense,EDMILSON CUPERTINO DE ALMEIDA,194.197,55292,284.72,95.8,0.652,8.85,195372346.42,209858685.90,13990.88,
Nazar&eacute; da Mata,2609501,nazareno,ADRIANA ANDRADE LIMA VASCONCELOS COUTINHO,130.572,30648,234.72,96.1,0.662,8.85,101941543.14,108275647.60,21071.46,
Olinda,2609600,olindense,MIRELLA FERNANDA BEZERRA DE ALMEIDA,41.300,349976,8474.00,96.9,0.735,12.97,1036061448.10,1056797825.00,14700.91,
Orob&oacute;,2609709,orobense,SEVERINO LUIZ PEREIRA DE ABREU,138.362,21808,157.43,97.2,0.610,12.3,123925123.57,107863565.70,16626.83,
Oroc&oacute;,2609808,orocoense,ISMAEL FERNANDES BIONE LIRA,554.759,13613,24.54,98,0.610,35.18,74022709.55,74827671.01,12178.95,
Ouricuri,2609907,ouricuriense,FRANCISCO VICTOR RAMOS COELHO,2381.570,65245,27.40,92.4,0.572,21.25,240157059.46,245265184.50,11076.44,
Palmares,2610004,palmarense,JOS&Eacute; BARTOLOMEU DE ALMEIDA MELO JUNIOR,339.388,54584,160.82,96.3,0.622,14.71,232239580.55,224437856.50,14497.54,
Palmeirina,2610103,palmeirinense,THATIANNE PINTO MACEDO LIMA,169.012,7031,41.65,94,0.549,22.22,42144995.65,44965792.94,10648.42,
Panelas,2610202,panelense,RUBEN DE LIMA BARBOSA,380.428,22991,60.43,98.6,0.569,25.81,135222433.73,130069833.30,8682.82,
Paranatama,2610301,paranatamense,HENRIQUE DE OLIVEIRA GOIS,185.371,12199,65.81,97.9,0.537,5.46,69730076.29,76512954.75,24618.65,
Parnamirim,2610400,parnamirinense,LUCELIO MUCIO MOURA ANGELIM,2609.548,18612,7.13,97,0.599,12.3,92835659.54,98876052.34,9604.04,
Passira,2610509,passirense,SEVERINO SILVESTRE DE ALBUQUERQUE,327.210,28340,86.61,95.9,0.592,5.7,122374217.53,119444041.10,9167.82,
Paudalho,2610608,paudalhense,PAULA FRASSINETTE WANDERLEY MARINHO,269.651,56665,210.14,96.7,0.639,13.4,238646879.86,218472377.10,16153.32,
Paulista,2610707,paulistense,SEVERINO RAMOS DE SANTANA,96.932,342167,3529.97,97.9,0.732,13.8,825487436.22,910165054.50,16596.43,
Pedra,2610806,pedrense,GILBERTO J&Uacute;NIOR WANDERLEY VAZ,922.481,22795,24.71,92,0.567,25.64,90989660.78,93001943.60,13488.22,
Pesqueira,2610905,pesqueirense,MARCOS LUIDSON DE ARA&Uacute;JO,970.439,62722,65.33,97.4,0.610,9.22,231690759.75,224288243.10,12776.4,
Petrol&acirc;ndia,2611002,petrolandense,FABIANO JAQUES MARQUES,1056.589,34161,32.33,96,0.623,10.4,183190673.45,175697342.50,44994.8,
Petrolina,2611101,petrolinense,SIM&Atilde;O AMORIM DURANDO FILHO,4561.870,386791,84.79,97,0.697,14.86,1555768387.86,1436920138.00,22244.46,
Po&ccedil;&atilde;o,2611200,po&ccedil;&atilde;oense,JOAO GUILHERME VASCONCELOS DE SOUSA,205.119,10500,51.19,97,0.528,6.71,52427526.14,49369183.95,9029.63,
Pombos,2611309,pomboense,ELIAS BATISTA DE LIMA,203.105,27552,114.88,95,0.598,9.09,105309408.14,102717608.50,19577.38,
Primavera,2611408,primaverense,JEYSON CAVALCANTI DE ALMEIDA FALC&Atilde;O,113.563,13838,122.31,96.7,0.580,6.33,64172017.73,57179581.42,19151.45,
Quipap&aacute;,2611507,quipapaense,GENIVALDO TEMOTEO BEZERRA,230.617,17928,77.74,97.2,0.552,22.73,88179919.42,93614418.50,7310.24,
Quixaba,2611533,quixabense,JOSE PEREIRA NUNES,210.705,6554,31.11,99.2,0.577,12.35,51477669.67,55791094.75,9868.19,
Recife,2611606,recifense,JO&Atilde;O HENRIQUE DE ANDRADE LIMA CAMPOS,218.843,1488920,6803.60,97.1,0.772,10.93,8255113251.47,7980646400.00,33094.37,
Riacho das Almas,2611705,riachense,DIOCLECIO ROSENDO DE LIMA FILHO,313.613,20639,65.73,93.4,0.570,15.33,104044790.97,97040629.04,12560.89,
Ribeir&atilde;o,2611804,ribeir&atilde;oense,ANA CAROLINA COELHO JORD&Atilde;O,289.566,33507,115.71,92.9,0.602,7.58,148703008.97,158419794.20,12055.44,
Rio Formoso,2611903,rio-formosense,GUTEMBERG ALEXANDRE RODRIGUES DA SILVA,227.458,20009,87.97,89.5,0.613,21.82,107626018.48,110008598.00,16015.49,
Sair&eacute;,2612000,saireense,GILDO PONTES DE ARRUDA,190.455,10887,57.16,97.7,0.585,8.93,55736427.08,51639167.39,18356.8,
Salgadinho,2612109,salgadinense,JEOSADAQUE BARBOSA SALGADO,87.217,5727,65.66,87.6,0.534,-,54844294.83,47951479.59,7217.62,
Salgueiro,2612208,salgueirense,F&Aacute;BIO LISANDRO DE LIMA BARROS,1678.564,62372,37.16,96.7,0.669,10.68,236629840.22,229781156.20,16278.25,
Salo&aacute;,2612307,saloaense,RIVALDO ALVES DE SOUZA JUNIOR,251.550,13836,55.00,97.4,0.559,11.11,80537279.36,84987950.66,10771.47,
Sanhar&oacute;,2612406,sanharoense,C&Eacute;SAR AUGUSTO DE FREITAS,268.065,18624,69.48,93.2,0.603,15.94,101914909.18,90288491.05,9091.27,
Santa Cruz,2612455,santacruzense,ADEGILDO GUIMARAES SOARES,1245.983,13841,11.11,97.5,0.549,14.78,84706287.40,80700262.55,8501.98,
Santa Cruz da Baixa Verde,2612471,santacruzense,ISMAEL QUINTINO LEITE DE SOUSA,114.931,11567,100.64,97.8,0.612,6.9,63583024.05,64403045.47,8935.61,
Santa Cruz do Capibaribe,2612505,santa-cruzense,HELIO LIMA ARAGAO FILHO,335.309,98254,293.03,95.7,0.648,16.24,375375267.22,340562068.30,17222.96,
Santa Filomena,2612554,filomense,PEDRO GILDEVAN COELHO MELO,1005.341,12106,12.04,97,0.533,12.42,65583901.59,62500095.49,7636.03,
Santa Maria da Boa Vista,2612604,boa-vistense,GEORGE RODRIGUES DUARTE,3000.774,40578,13.52,97.4,0.590,15.18,180125301.01,192356895.20,13344.05,
Santa Maria do Cambuc&aacute;,2612703,santa-mariense,ALEX ROBEVAN DE LIMA,92.148,14013,152.07,96.4,0.548,29.24,64923881.71,60538291.63,8545,
Santa Terezinha,2612802,santa-terezinhense,ADEILSON LUSTOSA DA SILVA,200.327,10244,51.14,97.8,0.593,7.81,59074233.20,57872107.80,9637.75,
S&atilde;o Benedito do Sul,2612901,s&atilde;o-beneditense,JOS&Eacute; RINALDO DE FIGUEREDO LOPES,160.477,13113,81.71,83.7,0.530,7.3,60847924.84,55718579.61,7205.9,
S&atilde;o Bento do Una,2613008,s&atilde;o-bentense,PEDRO ALEXANDRE MEDEIROS DE SOUZA,719.193,49449,68.76,93,0.593,12.05,192896116.51,186358349.80,24529.96,
S&atilde;o Caitano,2613107,s&atilde;o-caitanense,JOSAFA ALMEIDA LIMA,382.483,37126,97.07,97.2,0.591,15.84,141003297.03,139284774.80,11941.92,
S&atilde;o Jo&atilde;o,2613206,s&atilde;o-joanense,JOSE WILSON FERREIRA DE LIMA,258.443,23837,92.21,96.3,0.570,19.66,106972025.78,108047044.20,16964.2,
S&atilde;o Joaquim do Monte,2613305,s&atilde;o-joaquinense,EDUARDO JOS&Eacute; DE OLIVEIRA LINS,224.624,20037,88.12,94.2,0.537,21.28,99502219.77,88157720.89,8650.9,
S&atilde;o Jos&eacute; da Coroa Grande,2613404,s&atilde;o-jos&eacute;-coroa-grandense,JOS&Eacute; BARBOSA DE ANDRADE,69.184,18825,272.10,95.8,0.608,15.38,101988283.43,105864787.00,13307.45,
S&atilde;o Jos&eacute; do Belmonte,2613503,belmontense,VINICIUS MARQUES ALVES,1474.086,34843,23.64,96.2,0.610,10.08,149805867.59,168978919.50,10021.24,
S&atilde;o Jos&eacute; do Egito,2613602,egipsiense,FREDSON HENRIQUE DE OLIVEIRA BRITO,774.037,31004,40.05,98.9,0.635,14.81,140065553.15,124789552.20,12894.4,
S&atilde;o Louren&ccedil;o da Mata,2613701,s&atilde;o-lourensense,VINICIUS LABANCA,263.687,111249,421.90,97.1,0.653,13.49,323294088.15,345775494.90,12568.1,
S&atilde;o Vicente F&eacute;rrer,2613800,s&atilde;o-vicentino,MARCONE VICENTE DOS SANTOS,112.472,16677,148.17,95.2,0.549,8.58,97003642.18,84800261.49,11544.25,
Serra Talhada,2613909,serra-talhadense,MARCIA CONRADO DE LORENA E SA ARAUJO,2980.007,92228,30.95,96.7,0.661,14,328562093.58,359784951.80,19359.84,
